rest,scr,id
7.69,D B2 D' F' U F D L B2 L' B2 U D B2 D F2 U L2 ,1
7.72,B' R2 D2 B2 L2 F' R2 D' B L2 D2 B' D2 L D2 F D F' ,2
7.8,F2 D2 U2 L2 F2 D2 F2 R' D' B U2 F' L R' F' L2 D R' D2 ,3
7.88,R2 B U2 B F2 R2 B F2 U R U2 L F R2 F2 D U2 F U2 ,4
7.89,D2 L' U2 F2 D2 U2 R B2 R' B' D2 B' U' F' R' D B U B' L2 ,5
7.92,D R2 U' L2 R2 D' B2 F2 R' F2 L2 U B D2 R U2 F' R ,6
7.92,U2 F U2 R2 U2 B' F2 L2 B2 U' B2 F2 R' B2 D2 L U' B L' F' ,7
7.94,D F2 D2 U2 L2 F2 U B' D2 L' B D L2 R D' R2 F2 ,8
8.01,B2 L' D F' D' F2 R2 U' B R' U2 D2 F2 L2 U2 L' F2 R2 ,9
8.09,R B' L U2 L B2 L B2 R' D' F L2 B2 D2 F' B2 U2 B R2 ,10
8.1,L2 B2 D F2 U' B2 D' U L2 B U' B2 D2 R' B2 F2 R2 F D2 B2 ,11
8.14,D2 L' F2 U2 L' F2 D2 L' R' D' B' U2 R' F D2 U F2 L U2 ,12
8.15,U R2 B2 F2 D F2 D' F U B' D2 R U B2 R' F R2 U ,13
8.17,L2 D2 U2 B' D2 R2 B D2 U' L' D' U2 L2 U F' D' B' F' R ,14
8.17,F' U L B L' D R B2 U R2 U2 R2 F2 R2 F U2 L2 B L2 B' ,15
8.18,U F2 D' L2 U' F2 L2 B D2 U2 L' R2 B' F' L' U L D' ,16
8.29,L2 U2 R2 B2 R2 U B2 U2 R D2 U F L B F U' F' D2 F2 ,17
8.32,R' D2 B L F U2 D' F' L U' F2 R F2 R' D2 R D2 F2 ,18
8.37,B2 D2 F' B' D' F2 R' B' U2 L' B2 R2 U2 B R2 F' L2 U2 B' D2 B2 ,19
8.41,R2 D L2 F2 L2 B2 R2 U B2 F' D2 F' U' L D2 L' B' F2 D ,20
8.42,R2 U2 R2 U' L2 U R2 F2 R2 F2 R U' L' U' B L2 B' R' D2 R' ,21
8.48,B2 R2 U' B2 L2 F2 L2 R' B U2 B R2 U L U L2 F U ,22
8.5,B' L2 B D2 F L2 U2 L2 B' R B R2 D' F' U R' D R2 F2 ,23
8.57,U R B2 D R' F2 B U' F' B2 D2 R B2 R L2 U2 D2 R' ,24
8.59,R2 B U' R' F2 B R' D L B' R B2 L F2 R2 B2 U2 B2 ,25
8.61,R2 F2 U' R2 F2 U R2 D U R B U L R' B2 L' B' D' F' ,26
8.64,R' B2 U2 B2 U2 L' F2 L' R2 D' B2 U' F U R U L F' L ,27
