rest,scr,id,scramble_length
7.69,D B2 D' F' U F D L B2 L' B2 U D B2 D F2 U L2 ,1,45
7.72,B' R2 D2 B2 L2 F' R2 D' B L2 D2 B' D2 L D2 F D F' ,2,50
7.8,F2 D2 U2 L2 F2 D2 F2 R' D' B U2 F' L R' F' L2 D R' D2 ,3,54
7.88,R2 B U2 B F2 R2 B F2 U R U2 L F R2 F2 D U2 F U2 ,4,48
7.89,D2 L' U2 F2 D2 U2 R B2 R' B' D2 B' U' F' R' D B U B' L2 ,5,56
7.92,D R2 U' L2 R2 D' B2 F2 R' F2 L2 U B D2 R U2 F' R ,6,49
7.92,U2 F U2 R2 U2 B' F2 L2 B2 U' B2 F2 R' B2 D2 L U' B L' F' ,7,57
7.94,D F2 D2 U2 L2 F2 U B' D2 L' B D L2 R D' R2 F2 ,8,46
8.01,B2 L' D F' D' F2 R2 U' B R' U2 D2 F2 L2 U2 L' F2 R2 ,9,52
8.09,R B' L U2 L B2 L B2 R' D' F L2 B2 D2 F' B2 U2 B R2 ,10,51
8.1,L2 B2 D F2 U' B2 D' U L2 B U' B2 D2 R' B2 F2 R2 F D2 B2 ,11,56
8.14,D2 L' F2 U2 L' F2 D2 L' R' D' B' U2 R' F D2 U F2 L U2 ,12,54
8.15,U R2 B2 F2 D F2 D' F U B' D2 R U B2 R' F R2 U ,13,46
8.17,L2 D2 U2 B' D2 R2 B D2 U' L' D' U2 L2 U F' D' B' F' R ,14,54
8.17,F' U L B L' D R B2 U R2 U2 R2 F2 R2 F U2 L2 B L2 B' ,15,52
8.18,U F2 D' L2 U' F2 L2 B D2 U2 L' R2 B' F' L' U L D' ,16,50
8.29,L2 U2 R2 B2 R2 U B2 U2 R D2 U F L B F U' F' D2 F2 ,17,50
8.32,R' D2 B L F U2 D' F' L U' F2 R F2 R' D2 R D2 F2 ,18,48
8.37,B2 D2 F' B' D' F2 R' B' U2 L' B2 R2 U2 B R2 F' L2 U2 B' D2 B2 ,19,62
8.41,R2 D L2 F2 L2 B2 R2 U B2 F' D2 F' U' L D2 L' B' F2 D ,20,53
8.42,R2 U2 R2 U' L2 U R2 F2 R2 F2 R U' L' U' B L2 B' R' D2 R' ,21,57
8.48,B2 R2 U' B2 L2 F2 L2 R' B U2 B R2 U L U L2 F U ,22,47
8.5,B' L2 B D2 F L2 U2 L2 B' R B R2 D' F' U R' D R2 F2 ,23,51
8.57,U R B2 D R' F2 B U' F' B2 D2 R B2 R L2 U2 D2 R' ,24,48
8.59,R2 B U' R' F2 B R' D L B' R B2 L F2 R2 B2 U2 B2 ,25,48
8.61,R2 F2 U' R2 F2 U R2 D U R B U L R' B2 L' B' D' F' ,26,50
8.64,R' B2 U2 B2 U2 L' F2 L' R2 D' B2 U' F U R U L F' L ,27,51
8.65,R2 B2 F2 D R2 D2 F2 D' F2 R F' U' F2 D' U' R B L' R2 ,28,53
8.67,U2 R2 F2 L' D2 L2 R2 F2 D2 U2 B D U2 R' F2 L2 R2 U' R ,29,54
8.69,L2 D U B2 D L2 B2 U L2 R2 B D L2 B' R' U L U B' U2 ,30,51
8.7,U L2 F2 U' B2 U2 L2 F2 D2 L2 B L2 U' L' R D' U2 L B' D ,31,55
8.72,F2 D2 R F2 L D2 L R2 D2 R' U' R' B' D2 R2 D2 B2 D F2 ,32,53
8.75,L2 U B2 D2 U2 R2 U2 F2 L' D' L D2 F D2 U B D L2 F ,33,50
8.77,L2 U2 B' L2 B' L' B' U L' F D2 R2 B2 D R2 D' B2 D2 F2 U ,34,56
8.77,R2 U2 B2 R B2 R F2 R D2 R' D' R B U' F' D B' D R2 D' ,35,53
8.78,U' B2 L2 D' B2 U2 L2 B2 D F2 U' R' F' L2 U L' D' B U B' D2 ,36,59
8.79,R D2 B2 R B2 L U2 B2 R' F L2 U' B L R D' B' F' R D ,37,51
8.8,R2 D' L2 U F2 D U F2 U2 L D L U' R2 B L2 D2 F D ,38,48
8.8,F' L2 R2 B' D2 B2 U2 B R' B' D' B L F R2 U2 F' U' B' ,39,53
8.81,L U R L' U' F' R' D' R2 B2 U2 B' L2 B' U2 R2 B' D2 ,40,51
8.82,B' L F R' U L' U F R B' R2 F2 R2 D R2 L2 U2 L2 U ,41,49
8.83,F2 U2 L F U' D L' F B L D' F2 D2 R2 F2 R2 D L2 U L2 ,42,52
8.84,L2 D2 L' R' B2 L' F2 L B U' R' B' R' D2 F R U' B2 F2 ,43,53
8.85,F2 R2 F' D2 B' R2 B R2 F' U2 L B' L' B' D U2 F2 L' D2 F ,44,56
8.86,R2 D' B2 D B2 D' B2 L D F U F2 D2 L2 D2 L B U ,45,46
8.88,U2 L U2 F2 R2 F2 L' F2 U2 F2 U' L2 B U2 F2 L D B' R U2 ,46,55
8.89,F2 L2 B2 D B2 U R2 F D R B' U' R U' F U' B2 D2 ,47,47
8.89,F' U2 B D2 L2 R2 B D2 R' U R2 B' L U' R2 D L U' R ,48,50
8.91,R' U2 B' L' D' L U' R2 U' F D2 B2 R2 B2 L' U2 L B2 U2 ,49,54
8.92,B2 D2 B2 L2 F' D2 L2 F2 D2 R2 F' L' F' U R' F D U B R2 F ,50,57
8.92,D2 B' L2 B' D2 B2 L2 F L2 D2 L D B F' D' F' R U F' R ,51,53
8.92,U2 L2 U2 B F L2 U2 F2 D' R' D2 B' D2 R' B L U' B R ,52,51
8.93,U2 B2 L2 B2 L2 B R2 U2 B' U B' L' B D B' D2 F' U R' U ,53,54
8.94,D2 B2 R' U2 B2 U2 L F2 R2 F' L' R' D' L U2 F2 L' R2 U2 ,54,55
8.94,L2 D2 L2 B2 U R2 D' U' L2 R' D2 L F L B' L D L2 U R' ,55,53
8.94,U R F U' F2 D B2 L2 B L' U' B2 L2 F U2 B' U2 F2 R2 ,56,51
8.94,R2 B' D2 U2 B F2 U2 F R2 U' L2 D' R' U2 B' L2 R' B' L2 ,57,55
8.96,R2 B D2 R2 F2 D2 B D2 R2 D2 B2 D' B' F2 U' L' D L2 D' R D' ,58,59
8.96,F' U2 F D2 B2 R2 F D2 B2 D2 L' U L' R2 F L F L2 D' L ,59,53
8.97,L2 D' U' R2 U B2 L2 F2 R2 U' R' D2 F' D' B F' L' F2 R F2 ,60,57
8.97,D2 L' B2 R' B2 L2 D2 F2 D U R D U2 R U2 B' D L2 U ,61,50
8.97,L D' L' B2 U2 R F R2 U2 R F R2 B' U2 F R2 F' U2 B ,62,50
8.97,U B2 U2 R' L2 F U2 L' F' L B' R2 F2 R2 U2 R2 F D2 ,63,50
8.97,R2 B2 D2 B2 R2 D2 U' R2 D F U2 R2 D F2 D L R2 F D' U ,64,53
8.99,B2 D2 R2 B2 L2 F2 U2 F' U2 F' D' B U L D' B U' L' U B' ,65,55
8.99,L2 B2 D' U2 R2 B2 U B2 D2 R U B2 L B D L' U' L U B ,66,51
9.01,R2 F' R2 F D2 F' D2 U2 F2 D2 R U R F' R2 U' L D' B L2 ,67,54
9.01,D' L2 B U2 R' U D B' R2 F' D' B2 R2 D' R2 L2 U' B2 ,68,51
9.01,U D2 L' F' D' B U2 R F B' L F2 D2 B2 L2 U2 B2 R L ,69,50
9.02,U2 D F' D2 L' B D2 R2 B U' D2 F' L2 U2 B2 L2 F U2 B2 R2 F ,70,58
9.02,R2 U2 R2 U2 B2 L2 R2 U B2 L2 B' U2 R' D' U2 R2 F2 D' L ,71,55
9.04,D2 B F2 D2 L2 D2 R2 B' U2 B2 D' B F' U F L' U' R D R2 F' ,72,57
9.04,B D2 F' L2 B' D2 B R2 F' U2 L R D' F U' F2 L' D F2 D2 ,73,54
9.05,L R F2 R U2 R' D2 B2 F U R2 U' L' B' D2 F' D2 U' B' ,74,52
9.06,L' D2 R U2 R' F2 R' D' B2 R' B2 F' D U L B' D' B2 ,75,50
9.07,B2 U2 F' D2 L2 U2 F D2 F2 D2 R' D' F2 U' B L R U' L' ,76,53
9.07,B2 L2 B D2 L F' R F' U F2 D2 F' L2 F2 D2 F' U2 R2 B2 D2 ,77,56
9.07,U2 F' R2 F' L2 B' D2 L2 D2 L U' R' D U2 B L' R F' U2 F' ,78,56
9.07,R2 D2 U' R2 B2 D' B2 D' R' B2 U L B R D L' U2 L2 D' ,79,52
9.07,F2 U2 R2 D2 R2 F L2 F' L2 B2 L2 U R D' L2 F2 U' R' D' ,80,54
9.09,B' D2 F2 D2 L2 B2 L2 F U2 R2 F' L B L' R2 F D' F' U2 R ,81,55
9.09,F2 D2 B R2 B L2 R2 D2 F' U' B U2 L' R' U R D' R' F' ,82,52
9.1,F' B U2 L' U2 B2 U L2 F L' U2 F2 R B2 R' F2 ,83,44
9.1,B' D' L2 U' B' R D L B L' D F2 B' D2 B U2 D2 R2 U2 ,84,51
9.1,U2 F2 U D' F2 L F R' U F R' B2 L' F2 L2 U2 B2 U2 R U2 ,85,54
9.11,F2 D2 R D2 L2 F2 R2 B2 F2 R2 U R B2 L F2 D' R2 B F U ,86,53
9.12,B2 U' R' F L U2 R' D R' F2 D2 L2 F2 U B2 D2 R2 L2 D ,87,52
9.14,B R' U L' B' L' U2 F R D F2 D2 F2 R2 D2 B' D2 F R2 F2 U2 ,88,57
9.14,B2 F2 R B2 D2 L2 R' U2 B2 D F' L' U B2 D' R2 B' R2 B' L' ,89,57
9.14,F2 U L2 B2 U2 R2 B2 F2 D L2 B2 L' D2 U2 B L2 F2 L' U' L2 ,90,57
9.14,F' U F2 B R' F' D2 R2 B' D' R2 F2 R2 U' R2 D' B2 D R2 ,91,54
9.15,R2 U2 B' R2 B' U2 B2 U2 F' R' F R2 D2 B2 U B' R D2 B ,92,53
9.15,U' D R L2 F R D2 F2 R2 B R2 B2 D' L2 D R2 F2 U' L2 D2 ,93,54
9.16,U2 F2 U2 F2 U2 L2 B2 L2 D R B2 D2 B U' F2 R D' R F' ,94,52
9.17,R U2 L' D2 L' B2 U2 B2 D' U' B2 F U L R2 D2 U2 B F ,95,51
9.18,U2 R U2 L' U2 B2 F2 L D2 F2 D B L2 U2 L D2 F2 L D2 ,96,51
9.19,L U2 L B2 L' D2 B2 D2 U2 R' F D' U' B' L' B F U2 F2 L ,97,54
9.19,L D2 L2 D' F' D2 F2 L D L D B2 D R2 L2 D2 L2 U' L2 ,98,51
9.22,F L F' U B L2 B U L D2 L2 U2 D F2 D2 R2 F2 U' ,99,46
9.23,R2 U D2 F R2 B2 U2 R' D L B2 L2 B' D2 F' L2 B' R2 ,100,50
9.24,B2 L2 R2 F' L2 B2 F R2 D2 R' D2 F' D2 B F' U B2 D' R2 ,101,54
9.24,L U2 R' F2 U2 R' U2 R' B' D2 U' L' U2 R B L2 B U' L' ,102,53
9.24,F2 U2 R D' B' R2 B R' F R2 U2 F2 U R2 U2 L2 F2 R2 D' B2 ,103,56
9.24,R2 B' R2 B F2 U2 B U2 F' R' D U L U' F2 D U' B' U' L' ,104,54
9.26,L2 D2 B' R2 B R2 F2 L2 R2 B' U R2 F' R2 D L' U' B L2 U' ,105,56
9.26,D2 F2 D' F2 R2 U' B2 D2 F2 L2 R' F U' R2 D2 F' R2 B2 D ,106,55
9.26,U2 R' F' R' L' B D' B' U D2 F2 U2 D2 F2 R2 L F2 R L B2 ,107,55
9.26,D2 F2 U F2 U R2 U' L2 U F2 U2 F R F' D2 F2 L B2 L D F' ,108,55
9.26,L B2 D2 L2 U2 R B2 L2 D2 B' L' R' D B R' F2 L R2 B2 ,109,52
9.27,R' D B2 R U2 F2 L' B' U F R2 L2 U2 R2 B L2 F2 R2 L2 ,110,52
9.27,U R2 D' F2 U F2 U' L2 B2 R D' B F2 L' R2 D2 B' D2 ,111,50
9.27,D L2 B2 U' B2 L2 D2 L2 R2 F U' B' U F2 L D' R D2 B2 R2 ,112,55
9.27,R B' U' R2 F U R2 F' R2 D R B2 R D2 R' F2 U2 B2 L ,113,50
9.27,F' R' B2 L2 U' D' R U L2 F' R' U2 R' B2 L2 F2 L F2 D2 ,114,54
9.29,U' R' L2 B2 U' D2 B' U F2 D' F' L2 F2 R2 F U2 L2 F' R2 F' ,115,58
9.29,B2 F' R2 B' R2 D2 B' R2 U' R2 F U F' L' D F R' F L2 ,116,52
9.29,R D2 F L U L U B2 U' B' L F2 R2 B2 L B2 R U2 L2 F2 ,117,51
9.3,L2 R2 U' L2 D' R2 F2 D2 L2 F2 U F' D R2 B2 F2 D' L' F R2 U' ,118,60
9.3,F2 D2 U2 L2 D2 R B2 F2 D' R2 U2 B' F' L F D' F2 D2 L2 ,119,54
9.31,D2 B D2 F L2 B' R2 F' U2 R2 D2 U' L2 B U R F2 D2 B2 F' R ,120,57
9.31,U B2 D L2 D2 U R2 U B2 L B2 D F' D2 L' U B' F U' L ,121,51
9.32,R2 F D2 F R2 B' R2 F2 R' B2 R' F U' B' F' U' B' F2 ,122,51
9.32,L2 F2 R2 B2 R2 F' D2 F D R B' F2 U R U2 L' D' U B2 ,123,51
9.32,B U2 F U2 R2 F' D2 U2 R2 U' B' D L F U2 R D B2 L' R2 ,124,53
9.32,F2 R D2 R2 U2 R B2 D2 L' U' R B L2 U2 B R D B F ,125,48
9.32,B' D2 R' L D' R F U2 D F' R2 U2 F2 L2 F' L2 B' U2 R2 F2 ,126,56
9.32,D' R2 U2 R2 U' R2 D L2 U2 F' R' F2 U' L B L2 U B F2 D' ,127,55
9.32,B2 U2 L2 U2 L2 F D2 B U2 R' B2 U' R B' L2 B2 R' B F2 D2 ,128,56
9.34,F2 D F' R D' R2 F' B' U2 L F2 L2 U B2 D' L2 F2 R2 F2 D' R2 ,129,59
9.34,B2 D2 B' R U' F' D' L' D2 F U2 R2 F2 U2 D2 R' U2 L B2 D2 ,130,57
9.34,L2 D U' B2 U L2 B2 U F2 L2 R' U B U2 B' D2 R D' F2 ,131,51
9.35,R2 B2 L2 D B2 U2 F2 U' F2 L' U' R' B' D' F2 U2 F' R2 D ,132,55
9.35,F2 R' D2 R' F2 L' U2 F2 L D' F' L B D U2 B' U F D' L' ,133,54
9.36,B R2 F B' R U' L' D2 F U L2 F U2 F2 D2 B' U2 F2 ,134,48
9.36,B D' F2 B U2 B2 D' F' L D' F B R2 D2 F' B U2 ,135,45
9.36,U L2 U2 B2 F2 R2 D R2 B' L' F' R B F2 L' D' B R2 F ,136,51
9.36,R2 U' R2 U B2 R2 U2 F2 U L2 R' D2 U B2 L' B' F2 D2 B' ,137,54
9.36,L2 B2 L D2 R2 D2 U2 B2 D2 R2 F L' U L2 B D B U2 R ,138,50
9.37,F2 U2 R' B2 L' B2 F2 L' U2 L2 U L' F' L2 U F2 L2 F D2 ,139,54
9.38,U' B' D L B' D F2 L F U' L2 U R2 B2 U F2 R2 D' B2 D' ,140,53
9.39,R2 U2 R2 D2 F U2 B U2 R2 U F' L' U B2 D2 U R U B2 ,141,50
9.39,F R2 D2 B' L2 D2 B2 U2 F R2 U2 L' U R2 F L2 U' R' F' L2 U' ,142,59
9.39,R B2 L2 F2 U2 L2 U2 R' F L' F2 L' B' D U B' F L2 ,143,49
9.39,B2 R' B2 R2 B2 R' D2 U2 L F U L U2 L2 B' F R F D F2 ,144,52
9.4,R D' F U' B2 D F L U2 F' L2 U2 B2 D2 F R2 F L2 ,145,47
9.4,F2 L2 U2 F2 R U2 F2 R' D2 B2 F' R2 F' U' L2 F' U F2 ,146,52
9.41,D2 R' D2 L D2 R B2 L2 B2 R F2 U B2 D B' D' B2 D' L' F R2 ,147,57
9.42,L2 D B2 U2 R2 D U' F2 R2 F' U L' D' B F L' D2 F' U F2 ,148,54
9.42,F' D2 B' U2 F' U2 B' R2 B F' D R D2 B' D' R' U L D' U ,149,54
9.43,F2 L2 B2 L2 U2 R2 F' U2 B' L2 R D R2 F' D L2 B L' F' R ,150,55
9.43,U R2 D2 B2 U' R2 D L2 R2 B D L' F' U' R' B D2 U' R D ,151,53
9.44,L2 B2 U' L2 B2 F2 D2 U' F2 R' D2 L' D' F U F R U' F2 R2 ,152,56
9.44,D B2 D U' F2 R2 U F2 U B L2 F R2 B R' D2 R2 D' L' F ,153,52
9.44,U F2 R2 B2 U2 R2 D L2 D' L' D B2 U2 F' L2 U' R' D2 F L' R' ,154,59
9.44,B2 U R2 B2 D R2 D R2 F2 U F2 L' U2 F R2 B' L' B' U2 B' R ,155,57
9.44,L2 F D2 F R2 B' L2 F2 D2 L' D L B L U' L' U F' L2 ,156,50
9.44,U2 L2 D L2 R2 B2 L2 D' L B' R' D' B2 U2 R2 D2 L' D2 U' ,157,55
9.45,R D' R F' R2 L' D2 B R B L2 F2 D2 L2 U2 B D2 B2 L2 D2 ,158,54
9.46,R' U R U F U R D' F' U2 B2 R' U2 L' U2 F2 L' D2 F2 D2 ,159,54
9.46,R2 F2 R' B2 D2 R D2 R' U2 R2 F' L2 R2 U2 F' U R2 U2 B R B' ,160,59
